,batting_team,bowling_team,city,current_score,balls_left,wickets_left,current_run_rate,last_five_over_runs,final_score
31431,Sri Lanka,Bangladesh,Colombo,119,21,5,7.212121212121212,53.0,159
38363,England,West Indies,Barbados,120,21,6,7.2727272727272725,49.0,152
32619,Sri Lanka,Pakistan,Dubai,46,75,8,6.133333333333334,32.0,145
38136,Bangladesh,West Indies,Lauderhill,169,0,5,8.45,53.0,171
38576,England,Sri Lanka,Delhi,133,17,7,7.747572815533981,45.0,171
15844,Pakistan,New Zealand,Christchurch,96,48,8,8.0,20.0,183
44954,Pakistan,New Zealand,Auckland,77,73,10,9.829787234042554,53.0,201
45977,West Indies,England,London,109,53,8,9.761194029850746,43.0,208
16318,India,Bangladesh,Colombo,70,62,10,7.241379310344827,35.0,176
18560,India,Bangladesh,Delhi,102,25,6,6.442105263157894,29.0,148
13201,South Africa,Australia,Cape Town,150,13,7,8.411214953271028,41.0,178
30630,Pakistan,Australia,Dubai,47,56,4,4.40625,15.0,96
19168,Pakistan,South Africa,Nottingham,105,38,7,7.682926829268292,44.0,149
34595,Pakistan,India,Colombo,43,81,8,6.615384615384615,22.0,128
12842,West Indies,New Zealand,Pallekele,139,3,0,7.128205128205129,32.0,139
16360,India,Bangladesh,Colombo,138,20,9,8.28,55.0,176
25849,India,South Africa,Centurion,57,74,7,7.434782608695652,29.0,188
7118,Australia,Sri Lanka,Nottingham,87,34,5,6.069767441860465,17.0,159
6102,New Zealand,Sri Lanka,Johannesburg,67,67,8,7.584905660377358,45.0,164
20239,New Zealand,Bangladesh,Mount Maunganui,45,77,7,6.27906976744186,32.0,194
26892,South Africa,Australia,Johannesburg,148,23,6,9.154639175257731,44.0,204
24522,West Indies,England,London,58,71,9,7.1020408163265305,27.0,169
28840,Sri Lanka,West Indies,London,131,15,6,7.485714285714286,51.0,158
457,England,South Africa,Nottingham,81,38,5,5.926829268292683,40.0,111
15447,South Africa,England,Cape Town,103,45,8,8.24,33.0,179
25044,South Africa,Australia,Colombo,78,42,6,6.0,29.0,146
3675,New Zealand,Sri Lanka,Colombo,89,42,7,6.846153846153846,40.0,141
30679,Pakistan,Australia,Dubai,90,8,1,4.821428571428571,30.0,96
29045,Pakistan,Australia,Dubai,76,55,9,7.015384615384615,31.0,147
45409,Pakistan,Australia,St Lucia,186,4,6,9.620689655172415,69.0,191
41300,West Indies,England,London,26,83,8,4.216216216216216,19.0,113
28890,Sri Lanka,South Africa,Delhi,45,87,8,8.181818181818182,45.0,120
37346,England,South Africa,Durban,106,44,7,8.368421052631579,29.0,204
4407,Pakistan,Australia,Colombo,108,31,8,7.280898876404494,48.0,149
5022,South Africa,Afghanistan,Mumbai,144,23,7,8.907216494845361,48.0,209
26884,South Africa,Australia,Johannesburg,142,31,7,9.573033707865168,55.0,204
15869,Pakistan,New Zealand,Christchurch,125,25,6,7.894736842105263,33.0,183
10074,Pakistan,South Africa,Cape Town,104,38,8,7.609756097560975,54.0,176
25778,Australia,Pakistan,Dubai,97,25,2,6.126315789473685,20.0,108
9551,England,Pakistan,Abu Dhabi,57,65,8,6.218181818181818,28.0,129
50439,Sri Lanka,Pakistan,Dubai,118,42,9,9.076923076923077,55.0,211
356,India,England,Bangalore,166,15,7,9.485714285714286,58.0,202
5154,Australia,Sri Lanka,Sydney,122,13,7,6.841121495327103,43.0,137
36492,Australia,Sri Lanka,Adelaide,113,45,9,9.04,42.0,187
43647,India,West Indies,Mumbai,72,84,10,12.0,67.0,240
26017,Australia,South Africa,Johannesburg,110,28,5,7.173913043478261,39.0,166
39984,West Indies,New Zealand,Auckland,96,59,5,9.442622950819672,37.0,180
22524,Australia,Sri Lanka,Adelaide,192,20,9,11.52,64.0,233
9352,England,New Zealand,Hamilton,164,15,6,9.371428571428572,45.0,194
42659,New Zealand,India,Auckland,51,71,6,6.244897959183674,32.0,158
8001,England,Pakistan,Dubai,160,0,5,8.0,59.0,160
2004,New Zealand,South Africa,Durban,54,55,3,4.984615384615385,27.0,86
40832,Australia,South Africa,Cape Town,122,47,9,10.027397260273972,35.0,193
39969,West Indies,New Zealand,Auckland,81,74,5,10.565217391304348,35.0,180
