,batting_team,bowling_team,city,current_score,balls_left,wickets_left,current_run_rate,last_five_over_runs,final_score
44165,India,England,Colombo,168,-2,6,8.262295081967213,51.0,170
36002,Australia,India,Melbourne,74,42,5,5.6923076923076925,26.0,132
44362,South Africa,India,Mirpur,81,51,8,7.043478260869565,34.0,172
4236,Sri Lanka,England,St Lucia,40,74,7,5.217391304347826,21.0,128
28512,Bangladesh,India,Colombo,110,30,5,7.333333333333333,42.0,166
29642,India,West Indies,Mumbai,55,83,10,8.91891891891892,51.0,192
39426,India,West Indies,London,116,21,6,7.03030303030303,52.0,153
36642,Bangladesh,Pakistan,Lahore,107,19,6,6.356435643564357,32.0,136
3528,New Zealand,Australia,Sydney,48,64,6,5.142857142857143,30.0,117
3093,Bangladesh,Sri Lanka,Mirpur,52,72,7,6.5,46.0,147
31890,South Africa,Pakistan,Dubai,68,58,9,6.580645161290323,26.0,150
42189,India,South Africa,Durban,73,45,6,5.84,34.0,153
25298,South Africa,West Indies,Durban,115,39,9,8.518518518518519,25.0,195
34892,England,South Africa,Cardiff,136,34,7,9.488372093023257,56.0,181
27608,India,Sri Lanka,St Lucia,91,59,9,8.950819672131148,43.0,163
2038,New Zealand,South Africa,Durban,79,21,2,4.787878787878788,21.0,86
6652,South Africa,New Zealand,Barbados,159,8,7,8.517857142857142,61.0,170
18528,India,Bangladesh,Delhi,72,56,7,6.75,38.0,148
29347,West Indies,India,Mirpur,107,9,5,5.783783783783784,34.0,129
6713,Australia,England,Sydney,101,69,8,11.882352941176471,73.0,221
44269,Sri Lanka,India,Colombo,134,20,3,8.04,33.0,170
49972,Pakistan,England,Dubai,118,19,5,7.00990099009901,42.0,144
29056,Pakistan,Australia,Dubai,89,44,9,7.026315789473684,30.0,147
35237,Sri Lanka,Pakistan,Lahore,75,55,6,6.923076923076923,31.0,147
2143,India,Australia,Durban,136,27,7,8.774193548387096,64.0,188
37427,New Zealand,Australia,Auckland,59,87,8,10.727272727272727,49.0,150
39439,India,West Indies,London,137,9,5,7.405405405405405,62.0,153
33623,New Zealand,England,Manchester,50,68,7,5.769230769230769,36.0,123
8525,Sri Lanka,West Indies,Mirpur,48,85,8,8.228571428571428,43.0,160
31731,Bangladesh,West Indies,St Kitts,41,90,8,8.2,41.0,143
19674,England,Australia,Southampton,118,21,6,7.151515151515151,40.0,145
14008,Pakistan,Sri Lanka,Colombo,64,68,8,7.384615384615385,44.0,175
6975,South Africa,England,Southampton,68,53,7,6.08955223880597,25.0,142
21347,England,South Africa,Cape Town,70,66,6,7.777777777777778,31.0,134
30627,Pakistan,Australia,Dubai,47,59,4,4.622950819672131,16.0,96
302,India,England,Bangalore,69,68,8,7.961538461538462,40.0,202
22382,India,South Africa,Johannesburg,151,33,7,10.413793103448276,43.0,203
1482,England,Australia,Southampton,49,86,9,8.647058823529411,45.0,179
12752,West Indies,New Zealand,Pallekele,51,88,8,9.5625,46.0,139
22344,India,South Africa,Johannesburg,99,71,8,12.122448979591837,54.0,203
38842,Sri Lanka,England,Chittagong,183,1,6,9.22689075630252,46.0,189
652,New Zealand,Australia,Wellington,19,88,8,3.5625,17.0,118
19432,India,England,Manchester,149,17,5,8.679611650485437,43.0,165
31116,India,New Zealand,Wellington,63,61,7,6.406779661016949,27.0,149
40998,New Zealand,Pakistan,Barbados,114,12,4,6.333333333333333,29.0,133
9046,Australia,West Indies,Mirpur,74,68,7,8.538461538461538,40.0,178
10841,Sri Lanka,England,London,146,15,4,8.342857142857143,55.0,183
15160,New Zealand,England,Pallekele,96,30,6,6.4,38.0,148
41301,West Indies,England,London,26,82,8,4.105263157894737,18.0,113
38121,Bangladesh,West Indies,Lauderhill,148,15,6,8.457142857142857,58.0,171
6348,South Africa,India,Johannesburg,76,69,9,8.941176470588236,43.0,219
12903,West Indies,New Zealand,Auckland,53,61,6,5.389830508474576,32.0,126
22538,Australia,Sri Lanka,Adelaide,223,6,9,11.736842105263158,57.0,233
27754,South Africa,Sri Lanka,Johannesburg,115,38,9,8.414634146341463,57.0,198
43967,New Zealand,Sri Lanka,Colombo,153,14,7,8.660377358490566,44.0,170
9608,England,Pakistan,Abu Dhabi,111,10,4,6.054545454545455,34.0,129
4252,Sri Lanka,England,St Lucia,56,58,6,5.419354838709677,22.0,128
18317,Sri Lanka,Pakistan,Lahore,150,18,7,8.823529411764707,50.0,165
26875,South Africa,Australia,Johannesburg,118,40,7,8.85,39.0,204
23266,Bangladesh,Pakistan,Lahore,103,27,7,6.645161290322581,34.0,141
7843,India,New Zealand,Delhi,125,36,10,8.928571428571429,51.0,202
49238,Pakistan,Bangladesh,Mirpur,135,-1,3,6.694214876033058,28.0,135
38785,Sri Lanka,England,Chittagong,83,52,9,7.323529411764706,39.0,189
7751,West Indies,Australia,St Lucia,98,11,1,5.394495412844036,17.0,105
46333,West Indies,England,London,78,47,8,6.410958904109589,23.0,125
12697,New Zealand,England,Delhi,134,21,6,8.121212121212121,36.0,153
37358,England,South Africa,Durban,123,32,6,8.386363636363637,33.0,204
16587,Australia,West Indies,London,94,39,6,6.962962962962963,41.0,169
8900,Afghanistan,West Indies,St Kitts,45,90,8,9.0,45.0,146
39127,Australia,India,Sydney,75,66,8,8.333333333333334,38.0,197
787,Pakistan,New Zealand,Dubai,43,74,9,5.608695652173913,35.0,166
9985,India,Bangladesh,Nottingham,167,5,6,8.71304347826087,55.0,180
35336,India,South Africa,St Lucia,36,85,8,6.171428571428572,31.0,186
28464,Bangladesh,India,Colombo,46,77,7,6.4186046511627906,24.0,166
21151,New Zealand,England,Wellington,109,18,5,6.411764705882353,25.0,139
50721,South Africa,England,Centurion,185,14,6,10.471698113207546,48.0,222
41900,South Africa,New Zealand,Johannesburg,52,87,10,9.454545454545455,44.0,133
30778,England,West Indies,Mumbai,114,35,8,8.047058823529412,38.0,182
42934,Pakistan,New Zealand,Mount Maunganui,85,51,8,7.391304347826087,34.0,181
4423,Pakistan,Australia,Colombo,126,16,6,7.269230769230769,40.0,149
47001,Pakistan,Bangladesh,Mirpur,139,2,6,7.067796610169491,40.0,141
50537,Bangladesh,India,Mirpur,43,71,7,5.26530612244898,23.0,138
22963,Bangladesh,Australia,Cape Town,41,76,9,5.590909090909091,29.0,123
40672,Australia,India,Melbourne,43,82,8,6.7894736842105265,30.0,131
46362,West Indies,England,London,111,19,5,6.594059405940594,39.0,125
3396,New Zealand,Pakistan,London,39,80,7,5.85,22.0,99
19860,West Indies,South Africa,Johannesburg,68,78,10,9.714285714285714,48.0,205
2708,India,Australia,Melbourne,50,83,10,8.108108108108109,41.0,184
25017,South Africa,Australia,Colombo,54,69,7,6.352941176470588,36.0,146
1846,Pakistan,West Indies,Trinidad,25,90,9,5.0,25.0,132
8728,Bangladesh,Pakistan,Pallekele,162,9,6,8.756756756756756,38.0,175
43963,New Zealand,Sri Lanka,Colombo,148,18,7,8.705882352941176,42.0,170
48671,West Indies,England,Barbados,68,69,9,8.0,38.0,170
41739,India,Australia,Adelaide,174,6,8,9.157894736842104,55.0,188
49200,Pakistan,Bangladesh,Mirpur,98,35,6,6.91764705882353,34.0,135
24830,India,Pakistan,Bangalore,124,10,1,6.763636363636364,21.0,133
20176,West Indies,Australia,Barbados,150,21,4,9.090909090909092,33.0,160
10097,Pakistan,South Africa,Cape Town,152,17,7,8.854368932038835,56.0,176
17453,New Zealand,Sri Lanka,Lauderhill,62,45,4,4.96,29.0,81
16719,India,New Zealand,Hamilton,123,31,7,8.292134831460674,31.0,179
15462,South Africa,England,Cape Town,119,31,7,8.02247191011236,33.0,179
48801,Australia,India,Mumbai,81,60,8,8.1,39.0,166
24802,India,Pakistan,Bangalore,103,35,8,7.270588235294118,31.0,133
48085,South Africa,West Indies,London,128,35,8,9.035294117647059,50.0,183
39615,Australia,England,Southampton,64,80,9,9.6,48.0,248
41856,South Africa,Sri Lanka,Johannesburg,109,11,2,6.0,31.0,113
46800,New Zealand,West Indies,Mount Maunganui,66,71,8,8.081632653061224,45.0,238
19803,Pakistan,Bangladesh,Kolkata,175,14,7,9.90566037735849,59.0,201
43855,India,England,Nagpur,143,3,5,7.333333333333333,37.0,144
40426,South Africa,West Indies,Cape Town,37,80,8,5.55,28.0,165
15642,Afghanistan,Bangladesh,Mirpur,71,23,2,4.391752577319588,17.0,72
11192,Sri Lanka,Pakistan,London,101,43,8,7.87012987012987,22.0,150
19286,Sri Lanka,India,Colombo,116,44,6,9.157894736842104,41.0,152
34713,New Zealand,England,London,54,84,9,9.0,48.0,201
37436,New Zealand,Australia,Auckland,68,78,8,9.714285714285714,45.0,150
28575,Australia,New Zealand,Sydney,41,88,8,7.6875,40.0,150
16723,India,New Zealand,Hamilton,128,27,7,8.258064516129032,34.0,179
27228,Sri Lanka,Bangladesh,Colombo,93,64,9,9.964285714285714,37.0,214
8049,England,West Indies,Barbados,77,73,10,9.829787234042554,40.0,165
43460,Pakistan,New Zealand,Pallekele,133,28,7,8.673913043478262,35.0,177
40815,Australia,South Africa,Cape Town,105,64,10,11.25,43.0,193
40145,England,India,Manchester,152,4,2,7.862068965517241,40.0,159
22843,New Zealand,West Indies,Auckland,60,69,8,7.0588235294117645,32.0,155
31283,Pakistan,Sri Lanka,Colombo,105,44,7,8.289473684210526,46.0,172
23461,England,Afghanistan,Delhi,49,76,6,6.681818181818182,34.0,142
7124,Australia,Sri Lanka,Nottingham,101,28,4,6.586956521739131,29.0,159
8404,Sri Lanka,England,Southampton,45,85,9,7.714285714285714,42.0,140
39067,Sri Lanka,Australia,Pallekele,184,4,7,9.517241379310345,68.0,198
14002,Pakistan,Sri Lanka,Colombo,53,74,8,6.913043478260869,40.0,175
42323,Australia,England,Barbados,85,36,6,6.071428571428571,41.0,147
44144,India,England,Colombo,132,18,7,7.764705882352941,41.0,170
47334,South Africa,Australia,Cape Town,83,36,7,5.928571428571429,27.0,146
32911,England,New Zealand,Auckland,166,30,7,11.066666666666666,56.0,214
153,West Indies,Australia,St Lucia,35,92,9,7.5,35.0,150
46863,New Zealand,West Indies,Mount Maunganui,203,14,8,11.49056603773585,63.0,238
13329,Sri Lanka,West Indies,Bangalore,115,10,4,6.2727272727272725,42.0,122
37623,Sri Lanka,South Africa,Cape Town,110,17,5,6.407766990291262,30.0,134
50521,Bangladesh,India,Mirpur,27,87,7,4.909090909090909,18.0,138
44530,England,West Indies,Trinidad,121,7,2,6.424778761061947,24.0,121
13071,New Zealand,South Africa,Durban,132,19,4,7.841584158415841,42.0,153
42597,West Indies,Australia,Colombo,165,12,5,9.166666666666666,53.0,191
21840,Australia,Pakistan,Melbourne,48,86,9,8.470588235294118,44.0,127
10946,New Zealand,Pakistan,Dubai,93,33,6,6.413793103448276,26.0,153
30730,England,West Indies,Mumbai,49,82,9,7.7368421052631575,44.0,182
15729,Australia,England,Southampton,90,40,5,6.75,36.0,157
26092,South Africa,Pakistan,Colombo,33,76,7,4.5,24.0,133
42074,New Zealand,South Africa,Johannesburg,83,35,5,5.858823529411764,19.0,129
48178,India,West Indies,Lauderhill,70,69,9,8.235294117647058,39.0,167
25206,India,New Zealand,Christchurch,150,7,3,7.964601769911504,48.0,162
49522,Bangladesh,West Indies,Lauderhill,66,88,8,12.375,62.0,184
16954,Sri Lanka,Bangladesh,Chittagong,112,43,6,8.727272727272727,35.0,168
28231,Sri Lanka,England,Southampton,84,59,6,8.262295081967213,30.0,163
10403,New Zealand,India,Hamilton,71,82,10,11.210526315789474,58.0,212
42736,New Zealand,India,Auckland,158,1,3,7.966386554621849,34.0,158
33643,New Zealand,England,Manchester,69,48,5,5.75,29.0,123
2087,India,Australia,Durban,37,82,9,5.842105263157895,30.0,188
5248,Australia,India,Barbados,140,39,9,10.37037037037037,68.0,184
6239,Australia,New Zealand,Auckland,92,56,6,8.625,35.0,214
14077,Pakistan,Sri Lanka,Colombo,173,3,6,8.871794871794872,62.0,175
27369,Bangladesh,Sri Lanka,Chittagong,66,48,4,5.5,21.0,120
45780,New Zealand,Pakistan,Cape Town,126,5,2,6.573913043478261,33.0,143
46477,Australia,India,Sydney,136,25,7,8.589473684210526,51.0,171
24883,Pakistan,Australia,Dubai,39,81,9,6.0,26.0,151
23892,Bangladesh,Australia,Bangalore,116,17,5,6.757281553398058,35.0,156
21035,Afghanistan,India,St Lucia,98,14,4,5.547169811320755,35.0,115
14155,Pakistan,South Africa,St Lucia,73,48,6,6.083333333333333,49.0,148
34989,Sri Lanka,Bangladesh,Johannesburg,63,58,7,6.096774193548387,26.0,147
44023,New Zealand,West Indies,Mount Maunganui,88,81,8,13.538461538461538,77.0,102
5664,Pakistan,Sri Lanka,Lahore,179,0,7,8.95,71.0,180
27406,Bangladesh,Sri Lanka,Chittagong,102,13,2,5.719626168224299,32.0,120
6569,South Africa,New Zealand,Barbados,40,91,9,8.275862068965518,40.0,170
29147,South Africa,Australia,Johannesburg,61,76,9,8.318181818181818,43.0,201
24792,India,Pakistan,Bangalore,89,45,9,7.12,38.0,133
48408,South Africa,Sri Lanka,Colombo,23,86,7,4.0588235294117645,18.0,115
46360,West Indies,England,London,107,21,5,6.484848484848484,35.0,125
3961,India,West Indies,Trinidad,134,10,5,7.3090909090909095,54.0,159
361,India,England,Bangalore,178,10,6,9.709090909090909,58.0,202
8579,Sri Lanka,West Indies,Mirpur,101,31,6,6.808988764044944,37.0,160
32663,Sri Lanka,Pakistan,Dubai,88,32,6,6.0,27.0,145
9179,India,Bangladesh,Nagpur,69,62,8,7.137931034482759,39.0,174
49775,England,South Africa,Johannesburg,37,92,8,7.928571428571429,37.0,202
11303,New Zealand,West Indies,Auckland,87,55,7,8.03076923076923,36.0,189
6113,New Zealand,Sri Lanka,Johannesburg,88,57,8,8.380952380952381,54.0,164
16620,Australia,West Indies,London,148,9,4,8.0,48.0,169
43020,New Zealand,Pakistan,Wellington,55,87,10,10.0,50.0,196
6135,New Zealand,Sri Lanka,Johannesburg,112,36,5,8.0,36.0,164
38252,England,India,London,138,9,6,7.45945945945946,44.0,153
11324,New Zealand,West Indies,Auckland,117,35,5,8.258823529411766,50.0,189
7566,New Zealand,Sri Lanka,Pallekele,52,71,7,6.36734693877551,34.0,142
5341,Australia,Pakistan,Chandigarh,67,68,7,7.730769230769231,39.0,193
45842,South Africa,Pakistan,Johannesburg,77,66,9,8.555555555555555,36.0,153
38594,England,Sri Lanka,Delhi,171,0,6,8.55,59.0,171
13089,New Zealand,South Africa,Durban,151,2,2,7.677966101694915,30.0,153
3319,Sri Lanka,India,Nagpur,132,37,7,9.542168674698795,56.0,215
22116,New Zealand,India,Nagpur,69,45,6,5.52,29.0,126
45652,Australia,Sri Lanka,Pallekele,244,9,8,13.18918918918919,85.0,263
8233,India,South Africa,Colombo,129,12,5,7.166666666666667,39.0,152
21483,India,England,Durban,89,61,10,9.05084745762712,54.0,218
30432,India,Australia,Melbourne,56,40,4,4.2,17.0,74
3432,New Zealand,Pakistan,London,73,44,5,5.7631578947368425,31.0,99
6276,Australia,New Zealand,Auckland,151,19,5,8.970297029702971,43.0,214
35167,South Africa,Australia,Sydney,141,3,4,7.230769230769231,28.0,145
31912,South Africa,Pakistan,Dubai,112,36,9,8.0,50.0,150
788,Pakistan,New Zealand,Dubai,44,73,9,5.617021276595745,35.0,166
40859,Australia,South Africa,Cape Town,153,21,7,9.272727272727273,33.0,193
6375,South Africa,India,Johannesburg,116,42,9,8.923076923076923,42.0,219
21008,Afghanistan,India,St Lucia,74,40,7,5.55,34.0,115
7631,New Zealand,Sri Lanka,Pallekele,136,6,5,7.157894736842105,44.0,142
26209,South Africa,India,Johannesburg,31,83,8,5.027027027027027,24.0,126
11405,Pakistan,South Africa,Abu Dhabi,44,81,8,6.769230769230769,28.0,119
5231,Australia,India,Barbados,104,56,10,9.75,52.0,184
27983,England,New Zealand,Christchurch,87,57,6,8.285714285714286,26.0,193
27501,Sri Lanka,West Indies,Pallekele,124,40,8,9.3,44.0,215
48838,Australia,India,Mumbai,120,23,6,7.422680412371134,32.0,166
15167,New Zealand,England,Pallekele,107,23,6,6.618556701030927,42.0,148
28776,Sri Lanka,West Indies,London,48,78,10,6.857142857142857,42.0,158
7141,Australia,Sri Lanka,Nottingham,135,11,4,7.431192660550459,49.0,159
19407,India,England,Manchester,110,41,6,8.354430379746836,44.0,165
4400,Pakistan,Australia,Colombo,96,38,8,7.024390243902439,50.0,149
4778,South Africa,Sri Lanka,Cape Town,124,25,7,7.831578947368421,36.0,169
11722,New Zealand,Sri Lanka,Pallekele,161,10,5,8.781818181818181,54.0,174
23375,South Africa,Bangladesh,Mirpur,90,40,6,6.75,35.0,148
16873,New Zealand,Pakistan,Chandigarh,174,2,5,8.847457627118644,47.0,180
43488,Pakistan,New Zealand,Pallekele,177,0,5,8.85,46.0,177
27960,England,New Zealand,Christchurch,70,80,9,10.5,59.0,193
41438,Pakistan,India,Kolkata,42,66,9,4.666666666666667,22.0,118
6464,Sri Lanka,Pakistan,Abu Dhabi,48,73,9,6.127659574468085,33.0,124
37069,West Indies,Sri Lanka,Colombo,50,86,10,8.823529411764707,49.0,162
35100,South Africa,Australia,Sydney,69,70,10,8.28,48.0,145
2397,India,Bangladesh,Mirpur,130,18,6,7.647058823529412,54.0,166
14358,India,Bangladesh,Bangalore,27,90,10,5.4,26.0,146
33866,India,Australia,Colombo,60,71,8,7.346938775510204,38.0,140
19486,New Zealand,West Indies,Mount Maunganui,64,83,10,10.378378378378379,46.0,243
2634,New Zealand,Australia,Auckland,184,30,8,12.266666666666667,70.0,243
22035,West Indies,Pakistan,Abu Dhabi,98,6,5,5.157894736842105,27.0,103
27010,South Africa,Pakistan,Johannesburg,117,29,8,7.714285714285714,55.0,188
39243,England,Australia,Melbourne,49,77,7,6.837209302325581,33.0,137
9196,India,Bangladesh,Nagpur,95,45,7,7.6,43.0,174
36779,Pakistan,West Indies,Trinidad,132,6,3,6.947368421052632,35.0,137
40471,South Africa,West Indies,Cape Town,110,36,7,7.857142857142857,43.0,165
4903,South Africa,Afghanistan,Barbados,111,21,5,6.7272727272727275,30.0,139
2728,India,Australia,Melbourne,84,64,10,9.0,49.0,184
32175,India,South Africa,Durban,140,20,5,8.4,44.0,168
23770,New Zealand,Sri Lanka,Wellington,144,17,5,8.388349514563107,33.0,162
41611,Pakistan,England,Manchester,187,7,7,9.929203539823009,63.0,195
11299,New Zealand,West Indies,Auckland,74,59,7,7.278688524590164,25.0,189
9362,England,New Zealand,Hamilton,177,5,4,9.234782608695653,53.0,194
4547,Sri Lanka,Australia,Cape Town,88,16,2,5.076923076923077,25.0,101
20028,New Zealand,Bangladesh,Mirpur,129,40,8,9.675,51.0,204
13174,South Africa,Australia,Cape Town,111,40,8,8.325,33.0,178
23278,Bangladesh,Pakistan,Lahore,118,15,7,6.742857142857143,32.0,141
24768,India,Pakistan,Bangalore,60,69,10,7.0588235294117645,37.0,133
14377,India,Bangladesh,Bangalore,50,71,8,6.122448979591836,33.0,146
49540,Bangladesh,West Indies,Lauderhill,82,70,8,9.84,35.0,184
411,England,South Africa,Nottingham,26,82,7,4.105263157894737,22.0,111
27117,Sri Lanka,India,Mirpur,61,49,6,5.154929577464789,30.0,138
47585,West Indies,India,Lauderhill,189,36,9,13.5,64.0,245
2991,New Zealand,Bangladesh,Kolkata,66,53,8,5.91044776119403,27.0,145
9715,Pakistan,England,Dubai,91,26,5,5.808510638297872,35.0,129
36247,West Indies,Bangladesh,Mirpur,107,39,7,7.925925925925926,39.0,197
41240,West Indies,South Africa,Johannesburg,95,20,4,5.7,38.0,131
39775,Australia,India,Sydney,108,44,8,8.526315789473685,41.0,186
36248,West Indies,Bangladesh,Mirpur,108,38,7,7.902439024390244,39.0,197
28010,England,New Zealand,Christchurch,126,30,6,8.4,42.0,193
26158,South Africa,Pakistan,Colombo,115,11,5,6.330275229357798,43.0,133
10080,Pakistan,South Africa,Cape Town,125,32,8,8.522727272727273,65.0,176
22083,New Zealand,India,Nagpur,35,78,7,5.0,21.0,126
42149,India,South Africa,Durban,34,84,7,5.666666666666667,30.0,153
2957,New Zealand,Bangladesh,Kolkata,35,87,9,6.363636363636363,34.0,145
11723,New Zealand,Sri Lanka,Pallekele,162,9,5,8.756756756756756,55.0,174
28238,Sri Lanka,England,Southampton,96,52,6,8.470588235294118,30.0,163
31141,India,New Zealand,Wellington,95,36,5,6.785714285714286,34.0,149
13437,Pakistan,Bangladesh,Mirpur,94,22,6,5.755102040816326,52.0,129
13801,Australia,South Africa,Durban,115,26,3,7.340425531914893,24.0,157
48156,India,West Indies,Lauderhill,39,90,10,7.8,33.0,167
4614,Australia,England,Melbourne,71,67,8,8.037735849056604,34.0,147
18958,Pakistan,South Africa,Dubai,98,2,3,4.983050847457627,28.0,98
1984,New Zealand,South Africa,Durban,35,74,5,4.565217391304348,22.0,86
49679,England,Pakistan,London,88,64,8,9.428571428571429,34.0,185
4064,Pakistan,India,Mirpur,92,32,7,6.2727272727272725,42.0,130
6530,Sri Lanka,Pakistan,Abu Dhabi,117,9,5,6.324324324324325,27.0,124
46862,New Zealand,West Indies,Mount Maunganui,203,15,8,11.6,64.0,238
2590,New Zealand,Australia,Auckland,82,74,10,10.695652173913043,51.0,243
30171,South Africa,New Zealand,Auckland,103,52,8,9.088235294117647,45.0,185
42573,West Indies,Australia,Colombo,124,35,7,8.75294117647059,35.0,191
2985,New Zealand,Bangladesh,Kolkata,60,59,8,5.901639344262295,25.0,145
6008,New Zealand,England,Christchurch,94,40,6,7.05,36.0,153
65,West Indies,India,Lauderhill,45,57,5,4.285714285714286,12.0,95
31422,Sri Lanka,Bangladesh,Colombo,99,30,5,6.6,46.0,159
49606,Bangladesh,West Indies,Lauderhill,165,9,5,8.91891891891892,37.0,184
27980,England,New Zealand,Christchurch,84,60,6,8.4,27.0,193
36275,West Indies,Bangladesh,Mirpur,154,13,6,8.63551401869159,53.0,197
368,India,England,Bangalore,191,4,6,9.879310344827585,64.0,202
41968,South Africa,New Zealand,Johannesburg,117,19,3,6.9504950495049505,22.0,133
9241,India,Bangladesh,Nagpur,172,1,5,8.672268907563025,43.0,174
13874,Bangladesh,Sri Lanka,Colombo,74,78,9,10.571428571428571,53.0,176
33682,New Zealand,England,Manchester,107,9,3,5.783783783783784,33.0,123
46593,Sri Lanka,West Indies,Barbados,128,32,9,8.727272727272727,50.0,195
9702,Pakistan,England,Dubai,76,39,6,5.62962962962963,37.0,129
27623,India,Sri Lanka,St Lucia,109,44,8,8.605263157894736,38.0,163
48983,Australia,England,Sydney,179,4,4,9.258620689655173,47.0,195
2231,England,Pakistan,Dubai,79,60,6,7.9,42.0,150
20314,New Zealand,Bangladesh,Mount Maunganui,186,2,6,9.457627118644067,68.0,194
50729,South Africa,England,Centurion,202,7,5,10.725663716814159,49.0,222
43952,New Zealand,Sri Lanka,Colombo,125,29,8,8.241758241758241,41.0,170
28779,Sri Lanka,West Indies,London,48,75,10,6.4,37.0,158
27472,Sri Lanka,West Indies,Pallekele,81,69,10,9.529411764705882,39.0,215
43272,West Indies,Bangladesh,Mirpur,34,91,10,7.0344827586206895,29.0,171
32420,Bangladesh,Sri Lanka,Colombo,119,27,5,7.67741935483871,37.0,155
42186,India,South Africa,Durban,72,47,6,5.917808219178082,35.0,153
12056,Pakistan,New Zealand,Auckland,92,45,7,7.36,36.0,171
28809,Sri Lanka,West Indies,London,79,46,7,6.405405405405405,31.0,158
8568,Sri Lanka,West Indies,Mirpur,87,42,7,6.6923076923076925,33.0,160
14261,England,South Africa,Johannesburg,70,65,7,7.636363636363637,41.0,171
11601,West Indies,India,Lauderhill,133,10,1,7.254545454545455,32.0,143
35846,India,England,Cardiff,43,69,7,5.0588235294117645,27.0,148
38324,England,West Indies,Barbados,61,60,7,6.1,34.0,152
15810,Pakistan,New Zealand,Christchurch,66,82,10,10.421052631578947,61.0,183
17288,India,New Zealand,Wellington,51,84,8,8.5,37.0,165
38672,Pakistan,New Zealand,Abu Dhabi,84,43,7,6.545454545454546,41.0,148
41659,India,Australia,Adelaide,55,83,8,8.91891891891892,37.0,188
20674,New Zealand,India,Johannesburg,176,9,4,9.513513513513514,75.0,190
13372,Pakistan,Bangladesh,Mirpur,19,87,7,3.4545454545454546,19.0,129
34379,India,South Africa,Cape Town,98,49,8,8.28169014084507,37.0,172
18791,India,Australia,Mirpur,91,38,6,6.658536585365853,37.0,159
19170,Pakistan,South Africa,Nottingham,109,36,7,7.785714285714286,44.0,149
35257,Sri Lanka,Pakistan,Lahore,93,36,6,6.642857142857143,28.0,147
13395,Pakistan,Bangladesh,Mirpur,30,64,6,3.2142857142857144,13.0,129
46429,Australia,India,Sydney,66,72,9,8.25,35.0,171
25751,Australia,Pakistan,Dubai,79,51,5,6.869565217391305,24.0,108
37373,England,South Africa,Durban,157,17,5,9.145631067961165,52.0,204
41049,Pakistan,South Africa,Centurion,48,84,9,8.0,44.0,195
16585,Australia,West Indies,London,89,41,6,6.7594936708860756,37.0,169
1506,England,Australia,Southampton,90,62,8,9.310344827586206,51.0,179
9694,Pakistan,England,Dubai,64,47,6,5.260273972602739,36.0,129
19267,Sri Lanka,India,Colombo,87,63,8,9.157894736842104,42.0,152
5971,New Zealand,England,Christchurch,51,77,8,7.116279069767442,46.0,153
27628,India,Sri Lanka,St Lucia,117,39,8,8.666666666666666,39.0,163
31904,South Africa,Pakistan,Dubai,94,44,9,7.421052631578948,36.0,150
30018,Australia,South Africa,Adelaide,45,80,8,6.75,30.0,144
5490,South Africa,West Indies,Johannesburg,137,46,7,11.108108108108109,56.0,231
26612,Sri Lanka,Pakistan,Abu Dhabi,92,58,7,8.903225806451612,31.0,141
24553,West Indies,England,London,114,41,7,8.658227848101266,56.0,169
12416,Sri Lanka,Pakistan,Mirpur,87,51,10,7.565217391304348,41.0,150
18052,South Africa,India,Chandigarh,96,44,7,7.578947368421052,47.0,149
9913,India,Bangladesh,Nottingham,60,74,9,7.826086956521739,42.0,180
48314,West Indies,Bangladesh,Johannesburg,70,59,9,6.885245901639344,41.0,164
47959,New Zealand,England,Wellington,121,37,7,8.74698795180723,49.0,196
22836,New Zealand,West Indies,Auckland,56,76,8,7.636363636363637,35.0,155
43902,New Zealand,Sri Lanka,Colombo,54,79,10,7.902439024390244,41.0,170
46318,West Indies,England,London,65,62,8,6.724137931034483,22.0,125
21153,New Zealand,England,Wellington,115,16,5,6.634615384615385,29.0,139
43484,Pakistan,New Zealand,Pallekele,170,4,5,8.793103448275861,42.0,177
29647,India,West Indies,Mumbai,62,78,10,8.857142857142858,50.0,192
34962,Sri Lanka,Bangladesh,Johannesburg,39,84,8,6.5,31.0,147
9559,England,Pakistan,Abu Dhabi,63,57,7,6.0,26.0,129
19192,Pakistan,South Africa,Nottingham,135,14,6,7.6415094339622645,37.0,149
10437,New Zealand,India,Hamilton,118,48,9,9.833333333333334,39.0,212
14864,England,West Indies,Kolkata,45,74,7,5.869565217391305,36.0,155
2523,West Indies,England,Nottingham,136,15,6,7.771428571428571,62.0,172
41582,Pakistan,England,Manchester,125,33,8,8.620689655172415,43.0,195
30986,England,Australia,Southampton,69,69,8,8.117647058823529,29.0,162
39379,India,West Indies,London,50,67,7,5.660377358490566,23.0,153
6138,New Zealand,Sri Lanka,Johannesburg,115,33,5,7.931034482758621,37.0,164
46416,Australia,India,Sydney,55,85,9,9.428571428571429,53.0,171
46990,Pakistan,Bangladesh,Mirpur,126,13,6,7.065420560747664,42.0,141
41375,West Indies,England,London,101,8,5,5.410714285714286,42.0,113
4234,Sri Lanka,England,St Lucia,40,76,7,5.454545454545454,26.0,128
4606,Australia,England,Melbourne,67,75,8,8.933333333333334,46.0,147
1641,West Indies,Sri Lanka,Colombo,45,51,8,3.9130434782608696,28.0,137
34385,India,South Africa,Cape Town,110,43,8,8.571428571428571,46.0,172
47445,England,Pakistan,Dubai,81,50,7,6.942857142857143,34.0,172
